instance_id,theorem_name,source_file,declaration_line,category,reason,detail
util-attributes-basic-imo-2024-p6,imo_2024_p6,FormalConjectures/Util/Attributes/Basic.lean,65,,support_file,deferred candidate
util-attributes-basic-imo-2024-p6-2,imo_2024_p6,FormalConjectures/Util/Attributes/Basic.lean,65,,support_file,deferred candidate
util-attributes-basic-a-solved-problem-with-formal-proof,a_solved_problem_with_formal_proof,FormalConjectures/Util/Attributes/Basic.lean,78,research solved,support_file,deferred candidate
arxiv-1308-0994-boxdotconjecture-ktextendsk,Arxiv.«1308.0994».KTExtendsK,FormalConjectures/Arxiv/1308.0994/BoxdotConjecture.lean,144,API,out_of_scope_category,
arxiv-1601-03081-uniquecrystalcomponents-iscrystalwithcomponents-35-5-7,Arxiv.«1601.03081».isCrystalWithComponents_35_5_7,FormalConjectures/Arxiv/1601.03081/UniqueCrystalComponents.lean,37,test,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-not-lt,Arxiv.«1609.08688».not_lt₂,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,45,API,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-not-lt-of-forall-le,Arxiv.«1609.08688».not_lt₂_of_forall_le,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,49,API,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-not-lt-of-exists,Arxiv.«1609.08688».not_lt₂_of_exists,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,53,API,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-not-lt-self,Arxiv.«1609.08688».not_lt₂_self,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,63,API,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-lt-example-1,Arxiv.«1609.08688».lt₂_example_1,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,68,test,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-lt-example-2,Arxiv.«1609.08688».lt₂_example_2,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,72,test,out_of_scope_category,
arxiv-1609-08688-sincreasingrtuples-lt-example-3,Arxiv.«1609.08688».lt₂_example_3,FormalConjectures/Arxiv/1609.08688/sIncreasingrTuples.lean,76,test,out_of_scope_category,
